"","DIA.Open","DIA.High","DIA.Low","DIA.Close","DIA.Volume","DIA.WAP","DIA.hasGaps","DIA.Count"
"2020-01-17 14:33:00",293.21,293.23,293.18,293.22,19,293.206,0,5
"2020-01-17 14:34:00",293.18,293.18,293.12,293.14,39,293.154,0,19
"2020-01-17 14:35:00",293.12,293.14,293.09,293.09,44,293.12,0,24
"2020-01-17 14:36:00",293.09,293.11,293.06,293.06,62,293.106,0,28
"2020-01-17 14:37:00",293.05,293.09,293.03,293.06,126,293.081,0,56
"2020-01-17 14:38:00",293.06,293.08,293.06,293.08,9,293.071,0,5
"2020-01-17 14:39:00",293.06,293.07,292.96,292.97,17,293.013,0,15
"2020-01-17 14:40:00",292.96,292.97,292.94,292.96,38,292.958,0,19
"2020-01-17 14:41:00",293,293.1,293,293.1,204,293.072,0,67
"2020-01-17 14:42:00",293.07,293.12,293.06,293.11,25,293.091,0,16
"2020-01-17 14:43:00",293.1,293.1,293.09,293.09,82,293.094,0,23
"2020-01-17 14:44:00",293.07,293.09,293.02,293.02,12,293.057,0,7
"2020-01-17 14:45:00",293.05,293.05,293.04,293.05,4,293.049,0,4
"2020-01-17 14:46:00",293.01,293.05,293.01,293.04,18,293.028,0,14
"2020-01-17 14:47:00",293.04,293.05,293.01,293.01,4,293.037,0,3
"2020-01-17 14:48:00",293.01,293.1,292.98,293.1,39,293.042,0,31
"2020-01-17 14:49:00",293.07,293.12,293.05,293.07,106,293.076,0,45
"2020-01-17 14:50:00",293.09,293.21,293.05,293.13,209,293.122,0,105
"2020-01-17 14:51:00",293.12,293.14,293.09,293.13,113,293.111,0,51
"2020-01-17 14:52:00",293.15,293.18,293.14,293.18,122,293.165,0,56
"2020-01-17 14:53:00",293.18,293.19,293.16,293.17,75,293.18,0,32
"2020-01-17 14:54:00",293.19,293.3,293.18,293.3,290,293.217,0,135
"2020-01-17 14:55:00",293.3,293.3,293.25,293.27,84,293.276,0,39
"2020-01-17 14:56:00",293.3,293.38,293.3,293.38,102,293.335,0,53
"2020-01-17 14:57:00",293.36,293.42,293.33,293.33,212,293.368,0,103
"2020-01-17 14:58:00",293.34,293.36,293.15,293.16,389,293.236,0,233
"2020-01-17 14:59:00",293.17,293.34,293.16,293.25,885,293.257,0,607
"2020-01-21 08:30:00",292.37,292.86,292.26,292.86,707,292.483,0,236
"2020-01-21 08:31:00",292.85,292.95,292.8,292.95,237,292.863,0,149
"2020-01-21 08:32:00",292.96,293.16,292.95,293.16,266,293.056,0,162
"2020-01-21 08:33:00",293.16,293.22,293.1,293.16,330,293.168,0,238
"2020-01-21 08:34:00",293.16,293.2,292.96,293.09,363,293.07,0,238
"2020-01-21 08:35:00",293.09,293.1,292.92,292.95,302,293.048,0,177
"2020-01-21 08:36:00",292.95,292.98,292.93,292.95,132,292.961,0,70
"2020-01-21 08:37:00",292.97,293,292.85,292.85,70,292.941,0,32
"2020-01-21 08:38:00",292.86,292.88,292.81,292.85,3299,292.85,0,61
"2020-01-21 08:39:00",292.85,292.88,292.78,292.86,146,292.841,0,127
"2020-01-21 08:40:00",292.87,292.94,292.87,292.9,80,292.91,0,61
"2020-01-21 08:41:00",292.91,292.98,292.91,292.96,102,292.939,0,56
"2020-01-21 08:42:00",292.92,292.92,292.82,292.88,74,292.855,0,59
"2020-01-21 08:43:00",292.89,292.91,292.81,292.87,249,292.862,0,167
"2020-01-21 08:44:00",292.89,292.98,292.89,292.95,62,292.945,0,39
"2020-01-21 08:45:00",292.87,292.96,292.87,292.96,79,292.941,0,47
"2020-01-21 08:46:00",292.94,293.05,292.94,292.98,58,293.008,0,34
"2020-01-21 08:47:00",292.99,293.03,292.94,293.03,113,292.997,0,31
"2020-01-21 08:48:00",293.02,293.13,293.02,293.08,142,293.079,0,72
"2020-01-21 08:49:00",293.1,293.1,293.03,293.04,39,293.058,0,23
"2020-01-21 08:50:00",292.97,293.03,292.97,293.03,28,293.008,0,4
"2020-01-21 08:51:00",293.05,293.06,292.96,292.98,33,293.006,0,28
"2020-01-21 08:52:00",292.96,292.98,292.94,292.96,16,292.96,0,13
"2020-01-21 08:53:00",292.99,293,292.94,292.94,39,292.986,0,26
"2020-01-21 08:54:00",292.93,293,292.93,292.99,20,292.978,0,11
"2020-01-21 08:55:00",293.02,293.05,293.01,293.02,43,293.02,0,23
"2020-01-21 08:56:00",293.02,293.02,292.96,292.98,8,292.997,0,7
"2020-01-21 08:57:00",292.94,293.05,292.94,293.04,46,293.003,0,24
"2020-01-21 08:58:00",293.01,293.06,292.85,292.99,3273,292.854,0,68
"2020-01-21 08:59:00",293,293,292.88,292.88,35,292.968,0,18
"2020-01-21 09:00:00",292.83,292.94,292.82,292.94,88,292.899,0,59
"2020-01-21 09:01:00",292.92,293.07,292.92,293.01,208,293.041,0,145
"2020-01-21 09:02:00",293.03,293.07,293.02,293.07,182,293.053,0,92
"2020-01-21 09:03:00",293.07,293.08,293.01,293.03,265,293.051,0,144
